time hours since 1900-01-01 00:00:00.0,u10 m s**-1,v10 m s**-1,msl Pa,Distance Weight,surge 
973122,-0.735553785,5.742387398,100580.443,0.042484737,-0.41014
973122,0.196495949,13.56335247,100067.8423,0,-0.41014
973128,-0.659833348,6.939013957,99840.47515,1,-0.44551
973128,0.412643376,10.10723907,99696.53225,0.925526537,-0.44551
973128,-0.77410237,6.530445229,99979.35474,0.668373483,-0.44551
973128,0.27634659,7.068418287,99948.73372,0.654728369,-0.44551
973128,0.952323576,7.875377873,99817.56967,0.624853823,-0.44551
973128,2.180371378,11.73133612,99557.41155,0.582631894,-0.44551
973128,0.148310216,6.716554827,100086.4078,0.46780441,-0.44551
973128,-1.506525499,6.985541356,99756.32763,0.445078097,-0.44551
973128,-0.500132065,10.66411389,99611.9025,0.424268478,-0.44551
973128,1.955963539,8.826281603,99695.3267,0.40302331,-0.44551
973128,-0.796130134,6.800885739,100114.1355,0.315545264,-0.44551
973128,-1.368851979,7.555502001,99888.69723,0.306709763,-0.44551
973128,0.933049283,13.19985717,99462.41405,0.255047385,-0.44551
973128,4.443724053,12.71858938,99436.61524,0.228715459,-0.44551
973128,-0.095371915,6.482463848,100221.6707,0.179782517,-0.44551
